FIPS Code, State/Area, Year, Month, Total Civilian Non-Institutional Population in State/Area, Total Civilian Labor Force in State/Area, Percent (%) of State/Area's Population, Total Employment in State/Area, Percent (%) of Labor Force Employed in State/Area, Total Unemployment in State/Area, Percent (%) of Labor Force Unemployed in State/Area
39, Ohio,2000,10,8637548,5769815,66.8,5539184,64.1,230631,4
40, Oklahoma,2000,10,2584571,1655384,64,1607005,62.2,48379,2.9
41, Oregon,2000,10,2652736,1812447,68.3,1717292,64.7,95155,5.3
42, Pennsylvania,2000,10,9494633,6122435,64.5,5860231,61.7,262204,4.3
44, Rhode Island,2000,10,814463,540505,66.4,519732,63.8,20773,3.8
45, South Carolina,2000,10,3038703,1976505,65,1906278,62.7,70227,3.6
46, South Dakota,2000,10,562902,409118,72.7,398340,70.8,10778,2.6
47, Tennessee,2000,10,4371798,2846916,65.1,2735645,62.6,111271,3.9
48, Texas,2000,10,15285623,10398969,68,9966658,65.2,432311,4.2
49, Utah,2000,10,1593001,1149844,72.2,1109406,69.6,40438,3.5
50, Vermont,2000,10,475507,334594,70.4,324966,68.3,9628,2.9
51, Virginia,2000,10,5324945,3619961,68,3543654,66.5,76307,2.1
53, Washington,2000,10,4484987,3086855,68.8,2925177,65.2,161678,5.2
54, West Virginia,2000,10,1429734,798734,55.9,754875,52.8,43859,5.5
55, Wisconsin,2000,10,4098514,2991135,73,2884542,70.4,106593,3.6
56, Wyoming,2000,10,373242,266267,71.3,256419,68.7,9848,3.7
01, Alabama,2000,11,3385253,2139965,63.2,2040616,60.3,99349,4.6
02, Alaska,2000,11,438096,319460,72.9,299264,68.3,20196,6.3
04, Arizona,2000,11,3886639,2533900,65.2,2434431,62.6,99469,3.9
05, Arkansas,2000,11,2032150,1257547,61.9,1205079,59.3,52468,4.2
06, California,2000,11,25273037,16965953,67.1,16159985,63.9,805968,4.8
037, Los Angeles County,2000,11,7089905,4693853,66.2,4454577,62.8,239276,5.1
08, Colorado,2000,11,3295378,2365926,71.8,2302455,69.9,63471,2.7
09, Connecticut,2000,11,2601325,1757617,67.6,1720029,66.1,37588,2.1
10, Delaware,2000,11,600063,418924,69.8,403523,67.2,15401,3.7
11, District of Columbia,2000,11,458761,313576,68.4,295375,64.4,18201,5.8
12, Florida,2000,11,12575102,7989957,63.5,7689671,61.1,300286,3.8
13, Georgia,2000,11,6144529,4229457,68.8,4086197,66.5,143260,3.4
15, Hawaii,2000,11,901673,605309,67.1,581121,64.4,24188,4
16, Idaho,2000,11,957933,665633,69.5,634432,66.2,31201,4.7
17, Illinois,2000,11,9369166,6465149,69,6167385,65.8,297764,4.6
18, Indiana,2000,11,4613209,3118498,67.6,3025931,65.6,92567,3
19, Iowa,2000,11,2236321,1602761,71.7,1556340,69.6,46421,2.9
20, Kansas,2000,11,2006433,1398926,69.7,1343708,67,55218,3.9
21, Kentucky,2000,11,3094531,1961786,63.4,1876498,60.6,85288,4.3
22, Louisiana,2000,11,3292484,2026957,61.6,1917107,58.2,109850,5.4
23, Maine,2000,11,998094,672955,67.4,651688,65.3,21267,3.2
24, Maryland,2000,11,4014613,2822425,70.3,2720153,67.8,102272,3.6
25, Massachusetts,2000,11,4945759,3347925,67.7,3256027,65.8,91898,2.7
26, Michigan,2000,11,7539934,5158205,68.4,4949225,65.6,208980,4.1
27, Minnesota,2000,11,3749779,2824617,75.3,2733488,72.9,91129,3.2
28, Mississippi,2000,11,2099967,1304138,62.1,1238350,59,65788,5
29, Missouri,2000,11,4249529,2987904,70.3,2870358,67.5,117546,3.9
30, Montana,2000,11,689364,468687,68,446762,64.8,21925,4.7
31, Nebraska,2000,11,1286643,940867,73.1,913784,71,27083,2.9
32, Nevada,2000,11,1543911,1090188,70.6,1042157,67.5,48031,4.4
33, New Hampshire,2000,11,955745,689755,72.2,672217,70.3,17538,2.5
34, New Jersey,2000,11,6459817,4284698,66.3,4125842,63.9,158856,3.7
35, New Mexico,2000,11,1345733,852051,63.3,809637,60.2,42414,5
36, New York,2000,11,14583054,9126380,62.6,8730589,59.9,395791,4.3
51000, New York city,2000,11,6220786,3656315,58.8,3458250,55.6,198065,5.4
37, North Carolina,2000,11,6146939,4161618,67.7,3990039,64.9,171579,4.1
38, North Dakota,2000,11,484715,343034,70.8,333169,68.7,9865,2.9
39, Ohio,2000,11,8641255,5777788,66.9,5551334,64.2,226454,3.9
40, Oklahoma,2000,11,2585631,1657371,64.1,1609291,62.2,48080,2.9
41, Oregon,2000,11,2655969,1813369,68.3,1718860,64.7,94509,5.2
42, Pennsylvania,2000,11,9497174,6136761,64.6,5874011,61.9,262750,4.3
44, Rhode Island,2000,11,815074,540761,66.3,520059,63.8,20702,3.8
45, South Carolina,2000,11,3041827,1982769,65.2,1910496,62.8,72273,3.6
46, South Dakota,2000,11,563343,410198,72.8,399282,70.9,10916,2.7
47, Tennessee,2000,11,4375368,2850056,65.1,2739133,62.6,110923,3.9
48, Texas,2000,11,15310947,10419981,68.1,9992279,65.3,427702,4.1
49, Utah,2000,11,1596218,1153064,72.2,1111619,69.6,41445,3.6
50, Vermont,2000,11,475918,335315,70.5,325599,68.4,9716,2.9
51, Virginia,2000,11,5331526,3633438,68.2,3556205,66.7,77233,2.1
53, Washington,2000,11,4490922,3090504,68.8,2928278,65.2,162226,5.2
54, West Virginia,2000,11,1429379,799972,56,756480,52.9,43492,5.4
55, Wisconsin,2000,11,4102043,2996986,73.1,2889490,70.4,107496,3.6
56, Wyoming,2000,11,373446,266782,71.4,256975,68.8,9807,3.7
01, Alabama,2000,12,3386178,2140886,63.2,2040648,60.3,100238,4.7
02, Alaska,2000,12,438773,319644,72.8,299627,68.3,20017,6.3
04, Arizona,2000,12,3895390,2544844,65.3,2443973,62.7,100871,4
05, Arkansas,2000,12,2033134,1258869,61.9,1205680,59.3,53189,4.2
06, California,2000,12,25308044,17004221,67.2,16196430,64,807791,4.8
037, Los Angeles County,2000,12,7096618,4707731,66.3,4469353,63,238378,5.1
08, Colorado,2000,12,3302410,2369212,71.7,2306123,69.8,63089,2.7
09, Connecticut,2000,12,2602613,1757049,67.5,1717973,66,39076,2.2
10, Delaware,2000,12,600688,420792,70.1,405350,67.5,15442,3.7
11, District of Columbia,2000,12,459100,313822,68.4,295386,64.3,18436,5.9
12, Florida,2000,12,12595548,8011808,63.6,7706178,61.2,305630,3.8
13, Georgia,2000,12,6155531,4238961,68.9,4094380,66.5,144581,3.4
15, Hawaii,2000,12,902472,606510,67.2,582193,64.5,24317,4
16, Idaho,2000,12,959424,667767,69.6,636497,66.3,31270,4.7
17, Illinois,2000,12,9374457,6468207,69,6159884,65.7,308323,4.8
18, Indiana,2000,12,4615419,3124584,67.7,3026991,65.6,97593,3.1
19, Iowa,2000,12,2236772,1605280,71.8,1557642,69.6,47638,3
20, Kansas,2000,12,2007415,1400629,69.8,1344631,67,55998,4
21, Kentucky,2000,12,3096008,1964112,63.4,1876903,60.6,87209,4.4
22, Louisiana,2000,12,3292838,2031573,61.7,1920444,58.3,111129,5.5
23, Maine,2000,12,998941,673545,67.4,652145,65.3,21400,3.2
24, Maryland,2000,12,4019283,2827342,70.3,2725038,67.8,102304,3.6
25, Massachusetts,2000,12,4949449,3359793,67.9,3264889,66,94904,2.8
26, Michigan,2000,12,7544386,5167109,68.5,4950193,65.6,216916,4.2
27, Minnesota,2000,12,3753858,2833661,75.5,2741840,73,91821,3.2
28, Mississippi,2000,12,2100492,1304068,62.1,1238504,59,65564,5
29, Missouri,2000,12,4252557,2994981,70.4,2873210,67.6,121771,4.1
30, Montana,2000,12,689849,468491,67.9,446766,64.8,21725,4.6
31, Nebraska,2000,12,1287185,942907,73.3,915594,71.1,27313,2.9
32, Nevada,2000,12,1548738,1095217,70.7,1045870,67.5,49347,4.5
33, New Hampshire,2000,12,957038,691673,72.3,673477,70.4,18196,2.6
34, New Jersey,2000,12,6463696,4285976,66.3,4127345,63.9,158631,3.7
35, New Mexico,2000,12,1346599,853878,63.4,811370,60.3,42508,5
36, New York,2000,12,14591033,9129982,62.6,8739200,59.9,390782,4.3
51000, New York city,2000,12,6224624,3656824,58.7,3461257,55.6,195567,5.3
37, North Carolina,2000,12,6154456,4172079,67.8,3995828,64.9,176251,4.2
38, North Dakota,2000,12,484664,343602,70.9,333887,68.9,9715,2.8
39, Ohio,2000,12,8644649,5788181,67,5564923,64.4,223258,3.9
40, Oklahoma,2000,12,2586577,1659710,64.2,1611353,62.3,48357,2.9
41, Oregon,2000,12,2659061,1814335,68.2,1719456,64.7,94879,5.2
42, Pennsylvania,2000,12,9499379,6151654,64.8,5887290,62,264364,4.3
44, Rhode Island,2000,12,815630,541228,66.4,520233,63.8,20995,3.9
45, South Carolina,2000,12,3044817,1974250,64.8,1897991,62.3,76259,3.9
46, South Dakota,2000,12,563710,411336,73,400245,71,11091,2.7
47, Tennessee,2000,12,4378754,2854088,65.2,2743055,62.6,111033,3.9
48, Texas,2000,12,15335573,10442177,68.1,10015120,65.3,427057,4.1
49, Utah,2000,12,1599387,1156115,72.3,1113525,69.6,42590,3.7
50, Vermont,2000,12,476283,336031,70.6,326139,68.5,9892,2.9
51, Virginia,2000,12,5337913,3646707,68.3,3566772,66.8,79935,2.2
53, Washington,2000,12,4496757,3093714,68.8,2929874,65.2,163840,5.3
54, West Virginia,2000,12,1428923,801006,56.1,757852,53,43154,5.4
55, Wisconsin,2000,12,4105382,3004094,73.2,2894396,70.5,109698,3.7
56, Wyoming,2000,12,373611,267287,71.5,257505,68.9,9782,3.7
01, Alabama,2001,1,3387039,2141777,63.2,2040374,60.2,101403,4.7
02, Alaska,2001,1,439457,319846,72.8,300030,68.3,19816,6.2
04, Arizona,2001,1,3904061,2555178,65.4,2452258,62.8,102920,4
05, Arkansas,2001,1,2034063,1260049,61.9,1205911,59.3,54138,4.3
06, California,2001,1,25342675,17036516,67.2,16221805,64,814711,4.8
037, Los Angeles County,2001,1,7103623,4720492,66.5,4481503,63.1,238989,5.1
08, Colorado,2001,1,3309347,2372165,71.7,2308140,69.7,64025,2.7
09, Connecticut,2001,1,2603831,1755847,67.4,1714969,65.9,40878,2.3
10, Delaware,2001,1,601304,422324,70.2,406976,67.7,15348,3.6
11, District of Columbia,2001,1,459437,313380,68.2,294747,64.2,18633,5.9
12, Florida,2001,1,12615545,8031163,63.7,7718636,61.2,312527,3.9
13, Georgia,2001,1,6166480,4246253,68.9,4099176,66.5,147077,3.5
15, Hawaii,2001,1,903274,607571,67.3,582914,64.5,24657,4.1
16, Idaho,2001,1,960888,669930,69.7,638460,66.4,31470,4.7
17, Illinois,2001,1,9379497,6472722,69,6152750,65.6,319972,4.9
18, Indiana,2001,1,4617526,3131784,67.8,3027860,65.6,103924,3.3
19, Iowa,2001,1,2237196,1607287,71.8,1558411,69.7,48876,3
20, Kansas,2001,1,2008356,1401731,69.8,1345113,67,56618,4
21, Kentucky,2001,1,3097382,1965224,63.4,1875942,60.6,89282,4.5
22, Louisiana,2001,1,3293186,2034561,61.8,1922697,58.4,111864,5.5
23, Maine,2001,1,999732,674292,67.4,652495,65.3,21797,3.2
24, Maryland,2001,1,4023848,2830333,70.3,2727705,67.8,102628,3.6
25, Massachusetts,2001,1,4952972,3369977,68,3270951,66,99026,2.9
26, Michigan,2001,1,7548639,5175795,68.6,4948660,65.6,227135,4.4
27, Minnesota,2001,1,3757861,2841094,75.6,2748164,73.1,92930,3.3
28, Mississippi,2001,1,2100994,1304179,62.1,1238457,58.9,65722,5
29, Missouri,2001,1,4255432,2999349,70.5,2874567,67.6,124782,4.2
30, Montana,2001,1,690313,468240,67.8,446626,64.7,21614,4.6
31, Nebraska,2001,1,1287664,944664,73.4,917123,71.2,27541,2.9
32, Nevada,2001,1,1553524,1099598,70.8,1048953,67.5,50645,4.6
33, New Hampshire,2001,1,958254,693230,72.3,674158,70.4,19072,2.8
34, New Jersey,2001,1,6467345,4285668,66.3,4127117,63.8,158551,3.7
35, New Mexico,2001,1,1347455,855167,63.5,812599,60.3,42568,5
36, New York,2001,1,14598672,9128039,62.5,8740605,59.9,387434,4.2
51000, New York city,2001,1,6228780,3655027,58.7,3460976,55.6,194051,5.3
37, North Carolina,2001,1,6161819,4181546,67.9,3998775,64.9,182771,4.4
38, North Dakota,2001,1,484574,344116,71,334528,69,9588,2.8
39, Ohio,2001,1,8647714,5798294,67.1,5576671,64.5,221623,3.8
40, Oklahoma,2001,1,2587395,1662044,64.2,1612914,62.3,49130,3
41, Oregon,2001,1,2662042,1814809,68.2,1718469,64.6,96340,5.3
42, Pennsylvania,2001,1,9501193,6164882,64.9,5897777,62.1,267105,4.3
44, Rhode Island,2001,1,816184,541675,66.4,520071,63.7,21604,4
45, South Carolina,2001,1,3047767,1967678,64.6,1886258,61.9,81420,4.1
46, South Dakota,2001,1,564085,412289,73.1,401011,71.1,11278,2.7
47, Tennessee,2001,1,4381992,2857893,65.2,2746172,62.7,111721,3.9
48, Texas,2001,1,15360003,10462250,68.1,10030817,65.3,431433,4.1
49, Utah,2001,1,1602535,1158505,72.3,1114739,69.6,43766,3.8
50, Vermont,2001,1,476597,336609,70.6,326466,68.5,10143,3
51, Virginia,2001,1,5344116,3657773,68.4,3573374,66.9,84399,2.3
